PIR Sensor Frequency,ulrasonic1,ulrasonic2,microphone1,microphone2,microphone3,microphone4,microphone5,Turbidity,Obstacle
511.24,420.44,419.74,130.01,175.95,9799.61,157.0,-454.55,16.0,Mine
511.24,420.41,419.74,130.01,483.87,9798.63,157.0,-453.57,19.0,Mine
511.24,420.31,419.57,130.01,498.53,9799.61,157.0,-453.57,2.0,Mine
511.24,420.34,419.22,129.03,355.82,9815.25,156.0,-453.57,8.0,Mine
511.24,420.43,419.74,129.03,168.13,9817.2,156.0,-453.57,2.0,Mine
511.24,420.44,419.69,130.01,484.85,9805.47,156.0,-454.55,2.0,Mine
511.24,420.32,419.22,130.01,26.38,9830.89,157.0,-453.57,15.0,Mine
511.24,420.27,419.57,130.01,504.4,9905.18,157.0,-454.55,6.0,Mine
511.24,420.34,419.58,130.01,506.35,9812.32,157.0,-453.57,18.0,Mine
511.24,420.39,419.69,130.99,26.38,9799.61,156.0,-453.57,30.0,Mine
511.24,420.41,419.69,130.01,506.35,9817.2,157.0,-453.57,8.0,Mine
511.24,420.32,419.69,130.01,26.38,149.56,156.0,-454.55,34.0,Mine
511.24,420.27,419.21,130.99,506.35,143.7,157.0,-454.55,39.0,Mine
10776.15,421.25,419.72,131.96,502.44,9873.9,157.0,-454.55,3.0,Mine
10776.15,421.3,419.82,131.96,502.44,9875.86,157.0,-454.55,3.0,Mine
10776.15,421.2,419.7,130.99,26.38,9798.63,156.0,-454.55,14.0,Mine
511.24,420.29,419.22,130.99,506.35,152.49,157.0,-453.57,39.0,Mine
511.24,420.39,419.67,130.99,506.35,152.49,157.0,10767.35,11.0,Mine
511.24,420.29,419.33,131.96,26.38,152.49,157.0,-454.55,38.0,Mine
511.24,420.29,419.57,131.96,506.35,153.47,157.0,-454.55,40.0,Mine
511.24,420.41,419.69,132.94,9801.56,152.49,157.0,-453.57,30.0,Mine
